0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
N#Cc1ccc(N)cc1C(F)(F)F,273.205595234785,100.31149959898637,74.58546650750257,61.60067489362138,57.072266842118246,43.27217558713961,33.10925006669622,23.504734157637902,11.68940347824806,9.836739954836593,5.549259335970572,4.278321390412607,1.2429853227102994,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06055542819086468,-0.29040434708892043,-0.5008415883207157,-0.6778051347157775,-1.0472102156810699
CNS(=O)(=O)Cc1ccc(N)cc1,480.89230947644677,139.21765634215393,63.75163681419615,52.74738254375632,48.10333275100884,46.92736590482004,34.90634942896976,28.54414787716369,17.30091841312894,15.781968652188027,9.760263334376356,6.986420184088109,2.6492145560382925,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.023201738621528634,-0.0451159206741911,-0.05799589569537757,-0.09934112598970181,-0.2725882120146746,-0.299263426696719,-0.33647264251900166,-0.5773725240504954,-0.5984869025653199,-0.691678110657798,-0.8374953138920106,-1.0908676036120686
Nc1cc(-c2ccccc2)nn1-c1ccccc1,249.0014273958173,107.62804129985135,79.19249656752638,51.00175119864365,41.621403437502636,35.43382647268343,34.95769919173476,30.460629318206983,24.435923410577622,20.187406558944552,10.726627505388736,9.731380150691699,9.70402929197586,8.587524705689503,4.9815672964225435,4.2010678296433435,2.194971893418362,1.980892653285274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.06929100878493426,-0.08962913877108235,-0.12983716446221297,-0.2439609518910408,-0.26026677655991554,-0.4380020131126387,-0.4832514640344991,-0.5785497219616059,-0.5989529188150661,-0.6104921548095422,-0.8176988601982296,-1.1265362825267984,-1.1344975312027417
Cc1cc(C)c(N)c(Br)c1,2555.705269226773,154.00998735329452,57.9073891163431,41.45235404620555,30.702080556031746,21.938733874403532,17.661275863832863,8.53008483474143,6.500821824424965,2.1501292821959574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026481731564417115,-0.04403004181518457,-0.05869385059125703,-0.06246183234797773,-0.1294586044248411,-0.4456349410706323,-0.5953734231990334,-0.7076927277451189,-0.8380311582737434,-1.0138810102087628
N#Cc1ccc(Cl)c(N)c1,479.9414234230715,144.05427663971437,66.60418253679242,47.564035996588146,31.383308998092122,23.757339058215894,10.814986702572194,8.593910344293732,4.163287171479011,1.7045074851742057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07311221590012101,-0.26876288962181494,-0.5022674208732986,-0.702503567299939,-1.0160750857874454
Cc1cc([N+](=O)[O-])ccc1N,216.29792119088074,95.46599372678719,48.06894504711249,44.95649041009479,40.17756535684344,25.718917477822906,19.930198485339798,12.769620420935906,8.70113784260443,5.191388687213141,1.9721139912763648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021989195460845753,-0.05118903004249799,-0.12045344248125638,-0.2809325754258298,-0.5023427491784687,-0.6782765299497675,-0.7756469181541344,-1.0619215609598887
Cc1ccc2ncccc2c1N,206.33871641189643,75.65310961185465,54.08271890254104,36.60501696000558,34.962018138652965,25.49823966448925,18.97512503610521,12.0458673219126,8.475952007903084,6.61695449130321,4.420397242548412,1.1790515246189681,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01659526538560039,-0.05312520554272941,-0.10747228041596796,-0.18398815700751062,-0.29179229819262287,-0.4480931866277398,-0.7028335205280857,-0.7209208282829522,-0.8666798360741256,-1.1631999418583938
CC(C)c1cccc(C(C)C)c1N,203.86340980153284,69.99193322941122,55.46305922198356,42.61569615202143,28.658669283190775,24.941220703013247,24.685411953474713,23.350871208001784,12.108094852648488,10.559863512257294,7.400589109510712,6.347933604322329,2.0870687607668597,0.0776040237600542,0.001849145002504824,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02304375142782002,-0.027485674506775772,-0.09034930581921405,-0.09976172380344722,-0.10453311333716069,-0.12453897662864317,-0.1659288744685854,-0.16954112363686233,-0.30583214618794835,-0.31334411728727857,-0.4521283133404621,-0.7276685254991351,-0.7623607722043133,-0.770480991132221,-0.8703754218436217,-0.9282608819590762,-1.0616710548756159
N=c1ccc(Cl)n[nH]1,477.60035876307836,144.7006599469274,51.88328562965794,41.448433500224226,23.441445267648792,11.666063631861165,7.1871399322822525,2.551920141801781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24994748469560324,-0.4363707729961783,-0.49927197559872516,-0.9907876021295013
