id,0.1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
4-amino-2-(trifluoromethyl)benzonitrile,273.205595234785,100.31149959898636,74.58546650750257,61.60067489362138,57.072266842118246,43.27217558713961,33.10925006669622,23.504734157637905,11.68940347824806,9.836739954836592,5.549259335970572,4.278321390412607,1.2429853227102994,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0605554281908646,-0.2904043470889204,-0.5008415883207157,-0.6778051347157775,-1.04721021568107
1-(4-aminophenyl)-N-methylmethanesulfonamide,480.8923094764468,139.21765634215393,63.75163681419615,52.74738254375632,48.10333275100884,46.92736590482004,34.90634942896976,28.54414787716369,17.30091841312894,15.781968652188027,9.760263334376356,6.986420184088109,2.6492145560382925,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.0232017386215286,-0.0451159206741911,-0.0579958956953775,-0.0993411259897018,-0.2725882120146746,-0.299263426696719,-0.3364726425190016,-0.5773725240504954,-0.5984869025653199,-0.691678110657798,-0.8374953138920106,-1.0908676036120686
"1,3-diphenyl-1H-pyrazol-5-amine",249.0014273958173,107.62804129985136,79.19249656752638,51.00175119864365,41.62140343750264,35.43382647268343,34.95769919173476,30.460629318206983,24.435923410577622,20.187406558944552,10.726627505388736,9.7313801506917,9.70402929197586,8.587524705689503,4.981567296422544,4.201067829643344,2.194971893418362,1.980892653285274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0692910087849342,-0.0896291387710823,-0.1298371644622129,-0.2439609518910408,-0.2602667765599155,-0.4380020131126387,-0.4832514640344991,-0.5785497219616059,-0.5989529188150661,-0.6104921548095422,-0.8176988601982296,-1.1265362825267984,-1.1344975312027417
"2-bromo-4,6-dimethylaniline",2555.705269226773,154.00998735329452,57.9073891163431,41.45235404620555,30.702080556031746,21.93873387440353,17.661275863832863,8.53008483474143,6.500821824424965,2.150129282195957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0264817315644171,-0.0440300418151845,-0.058693850591257,-0.0624618323479777,-0.1294586044248411,-0.4456349410706323,-0.5953734231990334,-0.7076927277451189,-0.8380311582737434,-1.0138810102087628
3-amino-4-chlorobenzonitrile,479.9414234230715,144.05427663971437,66.60418253679242,47.56403599658815,31.38330899809212,23.75733905821589,10.814986702572194,8.593910344293732,4.163287171479011,1.7045074851742057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.073112215900121,-0.2687628896218149,-0.5022674208732986,-0.702503567299939,-1.0160750857874454
2-methyl-4-nitroaniline,216.29792119088077,95.4659937267872,48.06894504711249,44.95649041009479,40.17756535684344,25.718917477822902,19.9301984853398,12.769620420935906,8.70113784260443,5.191388687213141,1.9721139912763648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0219891954608457,-0.0511890300424979,-0.1204534424812563,-0.2809325754258298,-0.5023427491784687,-0.6782765299497675,-0.7756469181541344,-1.0619215609598889
6-methylquinolin-5-amine,206.33871641189643,75.65310961185465,54.08271890254104,36.60501696000558,34.962018138652965,25.49823966448925,18.97512503610521,12.0458673219126,8.475952007903084,6.61695449130321,4.420397242548412,1.179051524618968,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0165952653856003,-0.0531252055427294,-0.1074722804159679,-0.1839881570075106,-0.2917922981926228,-0.4480931866277398,-0.7028335205280857,-0.7209208282829522,-0.8666798360741256,-1.1631999418583938
"2,6-diisopropylaniline",203.86340980153284,69.99193322941122,55.46305922198356,42.61569615202143,28.658669283190772,24.941220703013247,24.685411953474716,23.350871208001784,12.108094852648488,10.559863512257294,7.400589109510712,6.347933604322329,2.08706876076686,0.0776040237600542,0.0018491450025048,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02304375142782,-0.0274856745067757,-0.090349305819214,-0.0997617238034472,-0.1045331133371606,-0.1245389766286431,-0.1659288744685854,-0.1695411236368623,-0.3058321461879483,-0.3133441172872785,-0.4521283133404621,-0.7276685254991351,-0.7623607722043133,-0.770480991132221,-0.8703754218436217,-0.9282608819590762,-1.061671054875616
6-chloropyridazin-3-amine,477.6003587630784,144.7006599469274,51.88328562965794,41.44843350022423,23.441445267648792,11.666063631861164,7.1871399322822525,2.551920141801781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2499474846956032,-0.4363707729961783,-0.4992719755987251,-0.9907876021295012
methyl 2-amino-4-chlorobenzoate,481.8000255549909,188.29215522957293,79.59359513262544,55.01349230471902,45.2435842753379,32.11132459218292,25.04071253655269,18.90490291121407,10.369911535274554,8.192407304950217,5.102466928263411,1.811910860677301,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0472190935866534,-0.0609857311152775,-0.0826413426156377,-0.2678181905156553,-0.4860034984199891,-0.6950120431286773,-0.8151572817453577,-0.9703275695045191
