id,0.1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
"1H-indol-5-yl N,N-dimethylsulfamate",0.0,0.0,0.0,0.0,0.0,0.0,2.8415838372385998,0.0,0.0,0.0,0.0,8.696406840513983,0.0,0.0,0.0,0.0,0.3062962962962965,1.8482010582010588,0.0,0.0,0.0,0.0,0.0,0.0,3.0169386967750063,0.0,0.0,0.0,0.0,1.0221383692365835,0.0,0.0,0.0,0.0,22.93994000377929,4.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.679838435374148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2-bromo-1,1'-biphenyl",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.59270313681028,0.0,0.0,0.0,0.0,3.624328703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5329681594860167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-Chloro-5-fluorotoluene,0.0,0.0,0.0,0.0,0.0,0.0,1.7692592592592593,0.0,0.0,0.0,0.0,4.2955246913580245,0.0,0.0,0.0,0.0,1.1434876543209882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.288858024691358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.61398148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-Chloro-m-xylene,0.0,0.0,0.0,0.0,0.0,0.0,4.018518518518518,0.0,0.0,0.0,0.0,6.028981481481482,0.0,0.0,0.0,0.0,3.1859567901234573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.877654320987654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2-Methyl-1,3-benzothiazol-5-yl) N,N-dimethylsulfamate",0.0,0.0,0.0,0.0,0.0,0.0,4.739549910241875,0.0,0.0,0.0,0.0,5.0569444444444445,0.0,0.0,0.0,0.0,1.2121451142185276,1.7602380952380954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.278763227513228,1.0173552059712774,0.0,0.0,0.0,0.0,23.053830467372137,4.943390022675737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.558585312211304,0.0,-3.7041351332199537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-Bromothiophene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.092013888888889,0.0,0.0,0.0,0.0,1.1736111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6927083333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2916666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-Chloro-2-methylaniline,0.0,0.0,0.0,0.0,0.0,0.0,1.900462962962963,0.0,0.0,0.0,0.0,5.499135802469136,0.0,0.0,0.0,0.0,2.441358024691359,0.0,0.0,0.0,5.536203703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73395061728395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Bromoanisole,0.0,0.0,0.0,0.0,0.0,0.0,1.6559901738473166,0.0,0.0,0.0,0.0,7.700231481481481,0.0,0.0,0.0,0.0,1.9597222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.948333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31905612244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Bromobenzotrifluoride,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7914814814814815,0.0,0.0,0.0,0.0,0.0196296296296292,0.0,-4.235416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71281746031747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0448214285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"4-Chloro-N,N-dimethylbenzamide",0.0,0.0,0.0,0.0,0.0,0.0,3.4383739606953894,0.0,0.0,0.0,0.0,6.8391975308641975,0.0,0.0,0.0,-0.0077160493827157,1.3006538170823894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5309901738473166,0.0,0.0,0.0,0.0,11.338586545729402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.671025132275132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-chloroindole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.688148148148148,0.0,0.0,0.0,0.0,0.7843518518518522,2.2887962962962964,0.0,0.0,0.0,0.0,0.0,0.0,3.088117283950617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.761697530864197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMS-929356,0.0,0.0,0.0,0.0,0.0,0.0,3.779103245464853,0.0,1.1717205215419504,0.0,0.0,3.632685185185185,0.0,0.0,0.0,-0.2684722222222218,1.494100056689343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8492824074074077,0.0,0.0,11.373842592592592,4.903148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.314590065192744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
